id,name,username,email,avatar,level,experiencepoints,experiencetonextlevel,rank,portfoliovalue,cashavailable,created_at,investor_type,negotiation_skill,investment_history,total_exits,total_failures,experience_points,experience_to_next_level
1a9944fb-aced-478d-81f9-00a6998ed35a,gbhyvhv,gbhyvhv,gbhyvhv@xdjdfx.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-19 15:03:48.724786+00,balanced,50,[],0,0,0,1000
1b94e274-7a35-4c69-a645-cbd5ed67cca6,oops,oops,oops@oops.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-15 08:24:54.885761+00,balanced,50,[],0,0,0,1000
234d8458-d3b5-485c-8253-3448d80e14dd,Jessica Taylor,jesst,jessica@example.com,👱‍♀️,7,3000,4000,Venture Capitalist,3100000,600000,2025-04-13 16:46:13.349415+00,balanced,50,[],0,0,0,1000
24eff4a5-eb5c-4a95-bf47-3eb2ff790110,test,test,test@test.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-19 14:46:42.41671+00,balanced,50,[],0,0,0,1000
2b537a80-3c3d-43ca-b69e-69db71a9f1b0,bagaholicsindia,bagaholicsindia,bagaholicsindia@gmail.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-17 08:51:30.152356+00,balanced,50,[],0,0,0,1000
39cf6e61-798e-4f87-b561-0a67894ea16b,David Wilson,davidw,david@example.com,👨‍🦰,6,2500,3000,Venture Capitalist,2900000,450000,2025-04-13 16:46:13.349415+00,balanced,50,[],0,0,0,1000
43dc7319-06cd-4f75-8ff5-f8847175aa6b,yo,yo,yo@yo.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-15 12:48:39.741303+00,balanced,50,[],0,0,0,1000
495fdbd1-8bf7-4140-a33e-6b6af4ccbc7c,Alex Johnson,alexj,alex@example.com,🧑‍💼,8,3250,4000,Venture Capitalist,1350000,500000,2025-04-13 16:46:13.349415+00,balanced,50,[],0,0,0,1000
529e0694-d123-44d4-aa1b-9d5737b5cf6e,Sarah Williams,sarahw,sarah@example.com,👩‍💼,15,7500,8000,Angel Investor,4850000,1200000,2025-04-13 16:46:13.349415+00,balanced,50,[],0,0,0,1000
6bdde6a7-4888-42fb-a02e-e8debb81adc5,startupomatic.com,startupomatic.com,startupomatic.com@gmail.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-15 13:41:54.054618+00,balanced,50,[],0,0,0,1000
6fcac766-1932-4e56-bd0a-9702d69ad1dd,321,321,321@321,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-19 15:47:46.879837+00,balanced,50,[],0,0,0,1000
7de7d778-df10-4167-9718-8afc6d877943,bagaholics.info,bagaholics.info,bagaholics.info@gmail.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-17 09:22:09.208239+00,balanced,50,[],0,0,0,1000
84784f01-5b11-40b9-9b29-cb4fd40086b9,wildwildplanet.com,wildwildplanet.com,wildwildplanet.com@gmail.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-15 12:49:28.185502+00,balanced,50,[],0,0,0,1000
a21a0860-b7a2-4748-a2bb-d8f7eeead732,Michael Chen,mikec,michael@example.com,👨‍💼,14,7000,8000,Angel Investor,4200000,750000,2025-04-13 16:46:13.349415+00,balanced,50,[],0,0,0,1000
ac8a4e76-7c17-4207-98e3-45e3a7acf61d,dvdfgf,dvdfgf,dvdfgf@dddsfds.com,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-19 17:36:16.634773+00,balanced,50,[],0,0,0,1000
d2d4a148-7ab7-4a5e-a4a1-4bf69084ddf1,123,123,123@123,👨‍💼,1,0,1000,Novice Investor,1000000,1000000,2025-04-19 15:04:49.472365+00,balanced,50,[],0,0,0,1000
